OID_;OBJECTID;IDESTACION;FECHAACTUA;MODO;CODIGOESTA;DENOMINACI;SITUACION;CODIGOCTME;CODIGOEMPR;DENOMINA_1;MODOINTERC;CODIGOINTE;TIPO;CODIGOPROV;CODIGOMUNI;CODIGOENTI;CODIGONUCL;CODIGOVIA;TIPOVIA;PARTICULA;NOMBREVIA;TIPONUMERO;NUMEROPORT;CALIFICADO;CARRETERA;CODIGOPOST;DISTRITO;SECCIONCEN;BARRIO;TESELA;SECTORURBA;SECTOR;CORREDOR;CORONATARI;CORONA123;ZONATRANSP;ENCUESTADO;ENCUESTAAF;HOJA25000;ACONDICION;ACONDICI_1;FECHAALTA;FECHAINICI;FECHAFIN;X;Y;GRADOACCES;SITUACIONC;DENOMINA_2;INTERURBAN;INTERURB_1;LINEAS;POINT_Y;POINT_X
27;28;4_149;20240628;4;149;ANTONIO MACHADO;I;149;718; ;93;139;U;28;79;7901;790101;08974;Calle;de;Valderrodrigo;N;55; ; ;28039;9;52;94;T0792691;0790101100;;6;A;2;079-09-208;208; ;559-1;2;3;19990430;19930701; ;439269;4480404;T; ; ; ; ;7;40,47021772;-3,71769486
28;29;4_186;20240628;4;186;ARGANDA DEL REY;S;186;928; ;93;141;U;28;14;1401;140101;A0135;Paseo;de la;Estación;N;37; ; ;28500;1;1;;T014354;0140101016;;3;B3;3;014-004;889; ;583-1;2;3;19990702;19990407; ;462079;4461766;T; ; ; ; ;9;40,30366928;-3,44751896
29;30;4_150;20240628;4;150;PEÑAGRANDE;I;150;719; ;93;296;U;28;79;7901;790101;06301;Cmno;de;Ganapanes;N;35; ; ;28029;8;72;84;T0791852;0790101081;;7;A;2;079-08-178;178; ;559-1;2;3;19990430;19930701; ;439433;4481036;T; ; ; ; ;7;40,47592352;-3,71582416
30;31;4_161;20240628;4;161;HERRERA ORIA;I;161;901; ;93;227;U;28;79;7901;790101;11022;Calle;de;Valencia de Don Juan;N;1; ; ;28034;8;35;85;T0791200;0790101070;;7;A;2;079-08-185;185; ;559-1;2;3;19990405;19930701; ;440145;4482000;N; ; ; ; ;9;40,48466278;-3,70751021
31;32;4_162;20240628;4;162;BARRIO DEL PILAR;I;162;902; ;93;156;U;28;79;7901;790101;09113;Calle;de;Ginzo de Limia;N;22; ; ;28029;8;90;85;T0791839;0790101095;;7;A;2;079-08-198;198; ;559-1;2;3;19990405;19930701; ;440507;4481134;N; ; ; ; ;9;40,47688907;-3,7031645
32;33;4_203;20240628;4;203;CUATRO VIENTOS;I;203;1019; ;92;84;U;28;79;7901;790101;04078;Col; ;Militar de Cuatro Vientos;N;6;B; ;28024;10;216;106;T07913886;0790101522;3;5;A;2;079-10-233;233; ;559-3;2;3;20030120;20030101; ;432919;4470188;T; ; ; ; ;10;40,37770689;-3,7915152
33;34;4_168;20240628;4;168;CONCHA ESPINA;I;168;908; ;93;175;U;28;79;7901;790101;02511;Calle;del;Príncipe de Vergara;N;210; ; ;28002;5;49;53;T0795041;0790101369;;1;A;1;079-05-097;97; ;559-2;2;3;19990405;19930701; ;442671;4478293;N; ; ; ; ;9;40,45144843;-3,67738012
34;35;4_163;20240628;4;163;VENTILLA;I;163;903; ;93;368;U;28;79;7901;790101;11612;Avda;de;Asturias;N;39; ; ;28029;6;73;64;T0792766;0790101123;;6;A;1;079-06-106;106; ;559-1;2;3;19990405;19930701; ;441118;4480302;N; ; ; ; ;9;40,46943538;-3,69588333
35;36;4_165;20240628;4;165;DUQUE DE PASTRANA;I;165;905; ;93;200;U;28;79;7901;790101;03953;Calle;de;Mateo Inurria;N;41; ; ;28036;5;100;56;T0792355;0790101198;;1;A;1;079-05-088;88; ;559-2;2;3;19990405;19930701; ;442533;4480090;N; ; ; ; ;9;40,46762585;-3,67917055
36;37;4_166;20240628;4;166;PIO XII;I;166;906; ;93;300;U;28;79;7901;790101;04833;Avda;de;Pío XII;N;27; ; ;28016;5;82;55;T0793556;0790101206;;1;A;1;079-05-090;90; ;559-2;2;3;19990405;19930701; ;442815;4479575;N; ; ; ; ;9;40,46300276;-3,67579015
37;38;4_52;20240628;4;52;ARGÜELLES;I;52;310; ;93;68;U;28;79;7901;790101;00120;Calle;de;Alberto Aguilera;N;72; ; ;28015;7;1;71;T0797329;0790101303;;6;A;1;079-07-136;136; ;559-1;2;3;19990405;19930701; ;439380;4476012;T; ; ; ; ;3, 4, 6;40,43066093;-3,71596265
